编号,答题时长,7.漏洞1的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭客厅灯。这个补丁符合您对该漏洞修复的期望吗？,8.针对漏洞1，请问您有其他修复建议吗？,9.漏洞2的修复补丁为：补充**规则1：如果** 小爱音响接收到指令 **并且 用户在家**，**那么** 打开电视机。防止用户不在家时接收陌生人指令。这个补丁符合您对该漏洞修复的期望吗？ ,10.针对漏洞2，请问您有其他修复建议吗？,11.该漏洞的修复补丁为：定义一条新规则替换原有规则：**如果** 家中检测到烟雾， **那么** 警报器报警。这个补丁符合您对该漏洞修复的期望吗？,12.针对该漏洞，请问您有其他修复建议吗？,13.该漏洞的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭门锁。这个补丁符合您对该漏洞修复的期望吗？,14.针对该漏洞，请问您有其他修复建议吗？,15.漏洞1的修复补丁为：补充**规则2：如果 **用户回家5分钟后 **并且 用户在家**，**那么** 打开加热器。用来防止用户短暂回家后离开的场景。这个补丁符合您对该漏洞修复的期望吗？,16.针对漏洞1，请问您有其他修复建议吗？,17.漏洞2的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭加热器。这个补丁符合您对该漏洞修复的期望吗？,18.针对漏洞2，请问您有其他修复建议吗？,19.漏洞1的修复补丁为：补充规则1：**如果** 室内检测到一氧化碳，**那么** 打开通风扇通风10分钟后关闭，**如果在即将关闭风扇时检测到一氧化碳，则等待一氧化碳完全排出后再进行关闭。**这个补丁符合您对该漏洞修复的期望吗？,20.针对漏洞1，请问您有其他修复建议吗？,21.漏洞2的修复补丁为：补充**规则2：如果** 室内空气湿度高，**那么 **打开通风扇通风5分钟关闭，**如果在即将关闭风扇时检测到一氧化碳，则等待一氧化碳完全排出后再进行关闭。**这个补丁符合您对该漏洞修复的期望吗？ ,22.针对漏洞2，请问您有其他修复建议吗？,23.漏洞的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭空调。这个补丁符合您对该漏洞修复的期望吗？ ,24.针对该漏洞，请问您有其他修复建议吗？,
1,126,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,
2,128,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,
3,136,A.完全符合,,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,,
4,141,A.完全符合,关闭前进行提醒,B.比较符合,执行外部访问指令前征询用户,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,,A.完全符合,,
5,178,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,
6,181,B.比较符合,,B.比较符合,,B.比较符合,,C.不符合（请给出建议）,检测钥匙跟着出门了,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,A.完全符合,,
7,188,A.完全符合,,A.完全符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,
8,189,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,
9,191,B.比较符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,,
10,199,B.比较符合,,B.比较符合,,B.比较符合,希望更好,B.比较符合,,B.比较符合,可以,B.比较符合,更好,B.比较符合,,B.比较符合,,B.比较符合,学习了,
11,206,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,同意上述方案,C.不符合（请给出建议）,规则分别设置为在特定季节有效,
12,231,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,
13,242,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,,A.完全符合,,B.比较符合,,A.完全符合,,B.比较符合,,
14,256,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,A.完全符合,,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,
15,268,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,
16,329,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,C.不符合（请给出建议）,为每个规则设置额外的季节，或者每个规则都添加温度的上下限，并确保温度上下限不重叠,
17,343,A.完全符合,可以设置一个离家多少时间后，自动关闭,C.不符合（请给出建议）,感觉打开电视机不如直接开灯 打开电视机家里没人的话会感觉家里会有点奇怪,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,可以同样设置个时间 比如半个小时左右 避免短暂出去,A.完全符合,,A.完全符合,,B.比较符合,也是可以在加一个时间限制,
18,348,A.完全符合,关开关,C.不符合（请给出建议）,陌生人指令应该听不见,C.不符合（请给出建议）,会报警,A.完全符合,出门记带钥匙关门,C.不符合（请给出建议）,不需要,A.完全符合,安全点,A.完全符合,打开不要关闭,A.完全符合,多通风,A.完全符合,节约用电,
19,410,A.完全符合,,A.完全符合,,B.比较符合,,C.不符合（请给出建议）,设置离家时间关锁,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,C.不符合（请给出建议）,设置离家时间关闭,
20,949,A.完全符合,,A.完全符合,,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,
21,1117,C.不符合（请给出建议）,关闭客厅灯的同时也应该同时关闭电视机 因此归类为比较符合,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,A.完全符合,,C.不符合,删除“10分钟后关闭”，只留下“一氧化碳完全排出后关闭”,B.比较符合,,C.不符合（请给出建议）,新增规则：室内温度≥25℃时关闭加热器,
22,1641,A.完全符合,打开防盗报警系统,A.完全符合,验证用户身份,A.完全符合,自动喷淋灭火,A.完全符合,启动防盗报警,B.比较符合,用户回家启动加热器的时间，由用户自行设定。,A.完全符合,打开防入侵安全报警系统,A.完全符合,,A.完全符合,再加入空气清新度的检测，适度增减通风扇工作时间，,A.完全符合,完美,
23,2135,B.比较符合,如果用户离家且离家时长大于半小时， 那么关闭客厅灯。,A.完全符合,,A.完全符合,,B.比较符合,如果进入睡眠模式或者用户离家，那么关闭门锁。,A.完全符合,,B.比较符合,如果用户离家并且离家时长大于30分钟，那么关闭热水器。避免短暂离家导致热水器一开一关。,A.完全符合,,A.完全符合,,A.完全符合,,
,,,,,,,,,,,,,,,,,,,,
平均,440s 7.3分钟,,,,,,,,,,,,,,,,,,,
,103个完全符合，92个比较符合，共12个不符合，满意率94.2%,,,,,,,,,,,,,,,,,,,
,9个漏洞 *23 = 207个,,,,,,,,,,,,,,,,,,,
针对漏洞1,完全符合10个,比较符合12个+1,不符合1个,共3个,,,,,,,,,,,,,,,,
,完全符合11个,比较符合10个+2,不符合2个,,,,,,,,,,,,,,,,,
针对漏洞2,完全符合12个,比较符合10个+1,不符合1个,,,,,,,,,,,,,,,,,
针对漏洞3,完全符合11个,比较符合10个+2,不符合2个,,,,,,,,,,,,,,,,,
针对漏洞4、6,完全符合10个,比较符合12个+1,不符合1个,,,,,,,,,,,,,,,,,
,完全符合12个,比较符合11个,不符合0个,,,,,,,,,,,,,,,,,
针对漏洞7,完全符合14个,比较符合8个+1,不符合1个,,,,,,,,,,,,,,,,,
,完全符合14个,比较符合9个,不符合0个,,,,,,,,,,,,,,,,,
针对漏洞8,完全符合9个,比较符合10个,不符合4个,,,,,,,,,,,,,,,,,
